,est,y_sample,date
3856,190.13658005880467,192.5188,2019-06-11
3857,192.27672792138696,191.9061,2019-06-12
3858,191.93517766433905,191.8665,2019-06-13
3859,191.91970388726415,190.4731,2019-06-14
3860,190.7623512919296,191.6096,2019-06-17
3861,191.6312586103943,196.11599999999999,2019-06-18
3862,195.63393399282893,195.5428,2019-06-19
3863,195.53029484022605,197.1141,2019-06-20
3864,197.00058353186117,196.4421,2019-06-21
3865,196.45377399028644,196.2444,2019-06-24
3866,196.3318602052591,193.2698,2019-06-25
3867,193.89708542749847,197.4501,2019-06-26
3868,197.27299084902117,197.3908,2019-06-27
3869,197.37866306878632,195.5922,2019-06-28
3870,195.96631852942053,199.1795,2019-07-01
3871,198.9511623384304,200.3456,2019-07-02
3872,200.21260383725496,202.0059,2019-07-03
3873,201.7967987993771,197.6675,2019-07-08
3874,198.34920649892103,198.8731,2019-07-09
3875,199.0448670375094,200.8397,2019-07-10
3876,200.62285755508609,199.3771,2019-07-11
3877,199.516963628335,200.9089,2019-07-12
3878,200.87125381215,202.7965,2019-07-15
3879,202.56258920799203,202.0948,2019-07-16
3880,202.06524819590769,200.9583,2019-07-17
3881,201.1938465557131,203.2412,2019-07-18
3882,203.09319140848845,200.2073,2019-07-19
3883,200.60991347649497,204.7828,2019-07-22
3884,204.5473548710414,206.3838,2019-07-23
3885,206.24228861239854,206.2158,2019-07-24
3886,206.20121831812884,204.5852,2019-07-25
3887,204.93352861321262,205.2967,2019-07-26
3888,205.31880079933887,207.2139,2019-07-29
3889,207.02025195887953,206.3245,2019-07-30
3890,206.34717714896954,210.5344,2019-07-31
3891,210.18110920889194,205.9786,2019-08-01
3892,206.44228018591207,201.6204,2019-08-02
3893,202.63463669807388,191.0661,2019-08-05
3894,193.60016080244958,194.683,2019-08-06
3895,195.01772958903675,196.699,2019-08-07
3896,196.38491820698886,201.0374,2019-08-08
3897,200.57438346166293,199.387,2019-08-09
3898,199.37891781404917,198.8811,2019-08-12
3899,199.10477471586395,207.3034,2019-08-13
3900,206.6701828505908,201.13299999999998,2019-08-14
3901,201.7322584624261,200.13099999999997,2019-08-15
3902,200.84651648672386,204.8531,2019-08-16
3903,204.45751118584514,208.6724,2019-08-19
3904,208.1764122134116,208.6823,2019-08-20
3905,208.63875761198767,210.9441,2019-08-21
3906,210.76649435309656,210.7656,2019-08-22
3907,210.7440624733299,201.0239,2019-08-23
3908,203.03685702043828,204.8432,2019-08-26
3909,205.0556320130358,202.5317,2019-08-27
3910,202.66226676210445,203.8908,2019-08-28
3911,203.89713978015314,207.3431,2019-08-29
3912,206.99963282089806,207.0752,2019-08-30
3913,207.0398519251932,204.0595,2019-09-03
3914,204.7006518826282,207.5216,2019-09-04
3915,207.3612795947061,211.579,2019-09-05
3916,211.03036939842698,211.5592,2019-09-06
3917,211.52826313933465,212.4619,2019-09-09
3918,212.3920399509949,214.9717,2019-09-10
3919,214.71637624787698,221.8068,2019-09-11
3920,221.1146950412112,221.3058,2019-09-12
3921,221.2198564059106,217.0054,2019-09-13
3922,217.927958218168,218.1462,2019-09-16
3923,218.4102647360923,218.9398,2019-09-17
3924,218.8186509932694,220.9933,2019-09-18
3925,220.78797739891425,219.1978,2019-09-19
3926,219.4391877468515,215.9935,2019-09-20
3927,216.6373598682513,216.9756,2019-09-23
3928,217.06633570103924,215.9439,2019-09-24
3929,216.04514323206186,219.2672,2019-09-25
3930,219.0201202585554,218.1363,2019-09-26
3931,218.1438117533197,217.0748,2019-09-27
3932,217.3207136432782,222.1838,2019-09-30
3933,221.75229369133925,222.7988,2019-10-01
3934,222.6726764947123,217.2137,2019-10-02
3935,218.28224676069613,219.0589,2019-10-03
3936,219.2262551540933,225.1995,2019-10-04
3937,224.5548455789623,225.2491,2019-10-07
3938,225.16212527490399,222.6103,2019-10-08
3939,223.14552136867303,225.2194,2019-10-09
3940,225.19488299071904,228.2549,2019-10-10
3941,227.84624366883648,234.3261,2019-10-11
3942,233.69535126131544,233.9888,2019-10-14
3943,233.9095627239656,233.4432,2019-10-15
3944,233.55626213619524,232.5008,2019-10-16
3945,232.6974281727921,233.4036,2019-10-17
3946,233.38353093583675,234.5245,2019-10-18
3947,234.38492913917793,238.5918,2019-10-21
3948,238.16031184575584,238.0462,2019-10-22
3949,238.05085932785622,241.2405,2019-10-23
3950,240.97979862483103,241.6374,2019-10-24
3951,241.5529261564707,244.6134,2019-10-25
3952,244.3755763885578,247.0637,2019-10-28
3953,246.73994507742378,241.3497,2019-10-29
3954,242.2107013178078,241.3199,2019-10-30
3955,241.78728963815573,246.77599999999998,2019-10-31
3956,246.3496812029959,253.7797,2019-11-01
3957,252.8897819184397,255.4463,2019-11-04
3958,255.27236881411565,255.0793,2019-11-05
3959,255.1008344771833,255.1884,2019-11-06
3960,255.19839317761674,258.1248,2019-11-07
3961,257.89131659569455,258.8312,2019-11-08
3962,258.7552142884844,260.6421,2019-11-12
3963,260.4614832576182,263.1395,2019-11-13
3964,262.8097531538588,261.3187,2019-11-14
3965,261.50483682352683,264.423,2019-11-15
3966,264.2115041131655,265.7562,2019-11-18
3967,265.64319204301785,264.9503,2019-11-19
